process_id,volume,automation_rate,avg_handling_time,error_rate,customer_satisfaction,cost_per_case,recommended_action,predicted_action
7,3341,0.78,20.8,0.086,3.51,19.31,no_action,no_action
15,3686,0.93,6.2,0.103,2.69,20.76,no_action,no_action
11,2010,0.81,19.4,0.19,3.86,22.33,no_action,no_action
8,3123,0.84,27.5,0.186,4.65,14.07,no_action,no_action
7,2414,0.45,26.9,0.153,3.98,5.91,no_action,no_action
19,4386,0.57,30.5,0.026,3.07,7.13,no_action,no_action
11,913,0.32,6.1,0.038,3.46,8.1,no_action,no_action
11,3802,0.27,30.0,0.023,3.63,15.25,increase_automation,increase_automation
4,4334,0.53,15.4,0.144,3.95,1.79,no_action,no_action
8,3722,0.61,19.2,0.219,4.4,16.27,no_action,no_action
3,4468,0.39,38.9,0.108,2.75,9.74,increase_automation,increase_automation
2,4948,0.58,2.4,0.04,4.72,8.09,no_action,no_action
12,1443,0.85,27.3,0.14,2.53,22.11,no_action,no_action
6,3909,0.57,27.7,0.203,3.43,12.04,improve_quality,improve_quality
2,1281,0.71,19.1,0.185,2.57,3.28,improve_quality,improve_quality
1,655,0.78,12.2,0.22,3.48,20.84,improve_quality,no_action
12,1094,0.94,12.1,0.069,3.81,2.14,no_action,no_action
12,1584,0.61,40.0,0.048,3.78,18.44,no_action,no_action
17,2158,0.79,21.0,0.22,2.91,19.57,improve_quality,improve_quality
10,3272,0.92,16.2,0.164,4.11,9.46,no_action,no_action
16,2196,0.9,21.3,0.078,2.61,20.79,no_action,no_action
15,4485,0.22,30.8,0.186,4.4,13.38,increase_automation,increase_automation
15,704,0.45,8.3,0.204,4.87,12.12,no_action,no_action
19,1414,0.38,21.3,0.154,3.35,2.09,improve_quality,improve_quality
12,1731,0.17,27.3,0.172,3.79,7.96,no_action,no_action
3,3640,0.64,42.8,0.094,3.45,23.34,no_action,no_action
5,1023,0.73,12.9,0.135,2.52,10.4,no_action,no_action
19,1128,0.82,17.4,0.131,3.46,14.12,no_action,no_action
7,333,0.2,18.3,0.212,4.48,13.77,no_action,no_action
9,2305,0.84,28.0,0.21,3.99,15.17,no_action,no_action
7,3827,0.65,17.3,0.208,2.75,2.47,improve_quality,improve_quality
18,4980,0.7,24.9,0.003,4.62,9.69,no_action,no_action
4,2052,0.87,35.6,0.187,3.83,18.36,no_action,no_action
14,4375,0.63,32.3,0.19,4.6,5.81,no_action,no_action
18,3133,0.39,21.2,0.17,3.95,5.89,increase_automation,increase_automation
9,3484,0.8,39.2,0.189,3.9,1.24,no_action,no_action
2,4498,0.41,26.0,0.21,2.76,11.5,improve_quality,improve_quality
15,3011,0.13,25.2,0.118,2.92,22.19,increase_automation,increase_automation
7,1450,0.81,3.5,0.126,4.93,2.25,no_action,no_action
12,3712,0.39,44.4,0.031,3.07,5.59,increase_automation,increase_automation
8,1456,0.76,7.3,0.096,4.94,8.44,no_action,no_action
15,3576,0.41,11.9,0.161,3.83,18.56,no_action,no_action
3,3686,0.83,4.2,0.195,2.84,16.38,improve_quality,improve_quality
14,3784,0.29,29.5,0.054,2.75,10.98,increase_automation,increase_automation
17,1596,0.93,11.7,0.034,3.02,19.22,no_action,no_action
4,3837,0.76,9.7,0.166,4.81,15.63,no_action,no_action
18,3530,0.2,5.8,0.0,3.54,22.5,no_action,no_action
8,2903,0.58,6.4,0.045,3.49,20.63,no_action,no_action
4,670,0.94,27.1,0.007,3.28,7.07,no_action,no_action
2,1553,0.5,31.6,0.042,2.87,7.51,no_action,no_action
6,2983,0.25,19.1,0.045,3.72,4.01,no_action,no_action
10,3031,0.51,22.6,0.097,2.83,9.09,no_action,no_action
4,557,0.54,31.5,0.101,4.59,24.99,no_action,no_action
18,3219,0.73,2.7,0.219,3.43,10.74,improve_quality,improve_quality
12,867,0.69,15.9,0.128,3.44,6.29,no_action,no_action
2,4668,0.44,43.8,0.181,3.69,19.3,no_action,no_action
10,1345,0.29,26.9,0.026,3.61,14.02,no_action,no_action
4,4385,0.65,12.9,0.056,4.99,4.59,no_action,no_action
14,3919,0.46,24.4,0.176,3.86,10.14,no_action,no_action
16,2945,0.21,16.7,0.013,2.72,10.95,no_action,no_action
15,739,0.87,24.9,0.122,4.02,19.09,no_action,no_action
8,2979,0.69,7.4,0.15,2.88,1.5,no_action,no_action
14,4336,0.68,7.7,0.151,2.58,7.46,improve_quality,improve_quality
8,3975,0.8,8.2,0.006,4.93,13.42,no_action,no_action
16,2708,0.55,42.4,0.081,4.43,7.45,no_action,no_action
13,2979,0.79,33.5,0.159,4.95,16.08,no_action,no_action
18,1124,0.52,9.0,0.037,3.69,12.56,no_action,no_action
15,3156,0.16,10.1,0.174,3.83,9.68,no_action,no_action
13,1781,0.44,33.4,0.186,2.92,23.78,improve_quality,improve_quality
9,3524,0.52,8.7,0.245,3.12,16.17,improve_quality,improve_quality
15,4685,0.71,12.1,0.052,4.6,4.12,no_action,no_action
